# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05232e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       9.258974600009e-02       2.909316174539e+06       2.893038470091e+06      -7.837914822577e+00      -7.997274982440e+00       0.000000000000e+00       9.228245754390e+05 
       9.592300277331e-02       2.767221966436e+06       2.750560940714e+06      -6.944824429968e+00      -7.086038422035e+00       0.000000000000e+00       8.776950728357e+05 
       9.933010241476e-02       2.636960877613e+06       2.620290278606e+06      -6.170403620171e+00      -6.295888807016e+00       0.000000000000e+00       8.363405486661e+05 
       1.028185143334e-01       2.519849324459e+06       2.503589101400e+06      -5.502918626032e+00      -5.614829715217e+00       0.000000000000e+00       7.991811899734e+05 
       1.063953067895e-01       2.416321510322e+06       2.400887403552e+06      -4.928216980056e+00      -5.028437735759e+00       0.000000000000e+00       7.663546373032e+05 
       1.100672555870e-01       2.325692146537e+06       2.311442819054e+06      -4.433249601332e+00      -4.523388478167e+00       0.000000000000e+00       7.376405351807e+05 
       1.138409247154e-01       2.246215295732e+06       2.233404054689e+06      -4.002263928817e+00      -4.083651098646e+00       0.000000000000e+00       7.124794380100e+05 
       1.177227266242e-01       2.175032341474e+06       2.163769093859e+06      -3.624332777505e+00      -3.698035734150e+00       0.000000000000e+00       6.899567934002e+05 
       1.217189674619e-01       2.108682774682e+06       2.098914373298e+06      -3.288171460618e+00      -3.355019467239e+00       0.000000000000e+00       6.689660028329e+05 
       1.258358810800e-01       2.043450979886e+06       2.034964947961e+06      -2.981053894669e+00      -3.041668384199e+00       0.000000000000e+00       6.483196615206e+05 
       1.300796545996e-01       1.975890511638e+06       1.968344747198e+06      -2.696976497922e+00      -2.751826843820e+00       0.000000000000e+00       6.269172736020e+05 
       1.344564476678e-01       1.903446740962e+06       1.896424141292e+06      -2.432474774751e+00      -2.481932548113e+00       0.000000000000e+00       6.039441450006e+05 
       1.389724070894e-01       1.825128477295e+06       1.818208818518e+06      -2.183840330530e+00      -2.228231580223e+00       0.000000000000e+00       5.790854490139e+05 
       1.436336782208e-01       1.741659969303e+06       1.734498090025e+06      -1.950471225633e+00      -1.990124649708e+00       0.000000000000e+00       5.525747909600e+05 
       1.484464143208e-01       1.655331574721e+06       1.647724843451e+06      -1.735356884350e+00      -1.770637688889e+00       0.000000000000e+00       5.251462752094e+05 
