 0 0 0 0 
 1 0 0 0 
 1 1 0 0 
 1 1 1 1.3845494479671416 
 2 0 0 0 
 2 1 0 -4.386195926393718 
 2 1 1 0 
 2 2 0 0 
 2 2 1 0 
 2 2 2 0 
 3 0 0 1.9374103564465954 
 3 1 0 0 
 3 1 1 0 
 3 2 0 0 
 3 2 1 0 
 3 2 2 0 
 3 3 0 0 
 3 3 1 0 
 3 3 2 0 
 3 3 3 0 
 4 0 0 0 
 4 1 0 0.48655545829279689 
 4 1 1 0 
 4 2 0 0 
 4 2 1 0 
 4 2 2 1.076492225407516 
 4 3 0 0.058577442299799637 
 4 3 1 0 
 4 3 2 0 
 4 3 3 -0.37576398586316789 
 4 4 0 -0.20270000807294505 
 4 4 1 0 
 4 4 2 0 
 4 4 3 0.31772378475454566 
 4 4 4 -0.056987646012603081 
 5 0 0 0.00037070944842709975 
 5 1 0 0 
 5 1 1 0 
 5 2 0 0 
 5 2 1 0 
 5 2 2 -0.90402877794275827 
 5 3 0 -0.23640350153278605 
 5 3 1 0 
 5 3 2 0 
 5 3 3 0.21786538003872419 
 5 4 0 0 
 5 4 1 0 
 5 4 2 0 
 5 4 3 0 
 5 4 4 0 
 5 5 0 0 
 5 5 1 0 
 5 5 2 0 
 5 5 3 -0.23888409001836747 
 5 5 4 0 
 5 5 5 -0.039697361890571582 
 6 0 0 0 
 6 1 0 0 
 6 1 1 0 
 6 2 0 0.22107708305359186 
 6 2 1 0 
 6 2 2 0.14713010442097049 
 6 3 0 0 
 6 3 1 0 
 6 3 2 0 
 6 3 3 -0.16173039621376986 
 6 4 0 0 
 6 4 1 0 
 6 4 2 0 
 6 4 3 0 
 6 4 4 0 
 6 5 0 0 
 6 5 1 1.5370283227659485 
 6 5 2 -1.1842759310126678 
 6 5 3 0 
 6 5 4 -0.23732379536558193 
 6 5 5 0 
 6 6 0 0 
 6 6 1 0 
 6 6 2 0 
 6 6 3 -0.15169983964435557 
 6 6 4 0 
 6 6 5 0 
 6 6 6 0.10593084423866464 
 7 0 0 0 
 7 1 0 0 
 7 1 1 0 
 7 2 0 -0.073105819161002561 
 7 2 1 0 
 7 2 2 0 
 7 3 0 0 
 7 3 1 0 
 7 3 2 0 
 7 3 3 0.03200623804905664 
 7 4 0 0 
 7 4 1 0 
 7 4 2 0 
 7 4 3 0.27021577673783215 
 7 4 4 0 
 7 5 0 -0.086588029474602965 
 7 5 1 0 
 7 5 2 0 
 7 5 3 0 
 7 5 4 0 
 7 5 5 0 
 7 6 0 0 
 7 6 1 0 
 7 6 2 0 
 7 6 3 0 
 7 6 4 0 
 7 6 5 0 
 7 6 6 0 
 7 7 0 0 
 7 7 1 0 
 7 7 2 0.24712307168495259 
 7 7 3 0 
 7 7 4 0.26520543112673201 
 7 7 5 0 
 7 7 6 0 
 7 7 7 0.15144667261471439 
 8 0 0 0 
 8 1 0 0 
 8 1 1 1.5049741672300416 
 8 2 0 0 
 8 2 1 0 
 8 2 2 0 
 8 3 0 0 
 8 3 1 0 
 8 3 2 0 
 8 3 3 0 
 8 4 0 0 
 8 4 1 0 
 8 4 2 0 
 8 4 3 0 
 8 4 4 -0.069541458736229203 
 8 5 0 0 
 8 5 1 0 
 8 5 2 0 
 8 5 3 0.52750818115713849 
 8 5 4 0 
 8 5 5 0.19888537085736807 
 8 6 0 0 
 8 6 1 0 
 8 6 2 0 
 8 6 3 0 
 8 6 4 0 
 8 6 5 0 
 8 6 6 0 
 8 7 0 0 
 8 7 1 0 
 8 7 2 0 
 8 7 3 0 
 8 7 4 0 
 8 7 5 0 
 8 7 6 0 
 8 7 7 0 
 8 8 0 0 
 8 8 1 0 
 8 8 2 0 
 8 8 3 0.18677833894273849 
 8 8 4 0 
 8 8 5 0 
